"time","n_risk","n_event","n_censor","surv","std_err","lower_ci","upper_ci"
97.634691195795,5549,1,65,0.9666306491662,0.00136854056796594,0.96395207702703,0.969316664360763
98,5478,1,61,0.966454192311661,0.00137961983719362,0.963753966309348,0.969161983751542
98.0289093298292,5471,1,9,0.966277541938363,0.00139063108444908,0.963555795527674,0.969006976438895
98.6202365308804,5386,1,84,0.966098136527681,0.00140189767846581,0.963354371173623,0.968849716501719
98.9816031537451,5340,1,40,0.965917219273649,0.00141326077543519,0.963151246908546,0.968691134942724
99.0473061760841,5328,1,14,0.965735928504266,0.00142457591047335,0.962947843398113,0.968532086133362
100.985545335085,5052,1,271,0.965544769373525,0.00143706220227544,0.962732283358686,0.968365471667926
102,4880,1,183,0.965346911838817,0.00145032447055119,0.962508509175942,0.968193684848136
104.632063074901,4401,1,473,0.96512756466503,0.001466488164449,0.96225757638236,0.968006112851975
105.026281208936,4352,1,47,0.964905798220943,0.00148282446150191,0.96200388813082,0.967816461999356
106.208935611038,4180,1,170,0.964674959513234,0.00150033003975452,0.961738843985081,0.967620038778736
107.358738501971,4017,2,164,0.964194663292416,0.00153754158480163,0.961185841546611,0.967212903620879
108.147174770039,3904,1,109,0.963947687200384,0.00155685733540409,0.960901127392938,0.967003906197935
110.84099868594,3480,1,423,0.963670690738545,0.00158085956478507,0.960577238679682,0.966774104979787
111.005256241787,3465,1,13,0.963392575099082,0.00160468086114961,0.96025258663771,0.96654283120011
111.990801576873,3339,1,124,0.963104047822922,0.0016299329973418,0.959914730248117,0.966303961908305
112.582128777924,3258,1,83,0.962808435776322,0.00165602252990455,0.959568156017673,0.96605965734546
112.680683311432,3242,1,14,0.96251145599971,0.00168193010019693,0.959220572298411,0.965813630029687
119.086727989488,2397,1,842,0.962109907624241,0.00172849727406185,0.958728072791699,0.965503671602449
119.973718791064,2279,1,114,0.961687744435288,0.00177854575879328,0.95820816892311,0.965179955454172
123.981603153745,1801,1,477,0.961153770118555,0.00185598585730747,0.957522979717536,0.964798327958283
130.321944809461,1093,1,709,0.960274397959252,0.00205206508435489,0.956260835287389,0.964304806124234
134.099868593955,716,1,377,0.958933232598974,0.00244855654903934,0.954146138698767,0.963744344065336
144.218134034166,8,1,704,0.839066578524102,0.112145455390212,0.645697445808898,1
151.281208935611,2,1,5,0.419533289262051,0.30190766997658,0.10238077988303,1
0.0328515111695138,52098,5,42,0.999904027025989,4.29183591285312e-05,0.999819912126018,0.999988149002552
0.0657084188911704,52015,1,37,0.999884803647598,4.70260129940828e-05,0.999792638603741,0.999976977187612
0.0985545335085414,52013,2,25,0.99984635615164,5.43171463298466e-05,0.999739902168588,0.99995282147009
0.0985626283367556,51987,1,0,0.999827123528942,5.76205305748614e-05,0.999714195742171,0.999940064072045
0.131406044678055,51986,2,31,0.999788658283548,6.37152193449561e-05,0.999663786547138,0.999913545618154
0.164257555847569,51953,2,22,0.999750170086205,6.92817347846724e-05,0.999614389602549,0.999885969013313
0.168856767411301,51928,1,1,0.999730917463919,7.19057037630223e-05,0.999589994807464,0.999871859987714
0.197109067017083,51927,1,26,0.999711664841632,7.44371373713654e-05,0.999565781378369,0.999857569596125
0.229960578186597,51900,2,24,0.999673140307342,7.92622335033429e-05,0.999517801254647,0.999828503501899
0.26281208935611,51874,3,33,0.999615326770292,8.59991023503823e-05,0.999446785837068,0.999783896125285
0.295663600525624,51836,2,22,0.999576758388211,9.02164411648502e-05,0.99939995305124,0.999753595004078
0.328515111695138,51814,2,26,0.999538175118887,9.42479896261564e-05,0.999353469521667,0.999722914854335
0.361366622864652,51785,4,25,0.999460968346646,0.000101840157466434,0.999261385235936,0.999660591320218
0.394218134034166,51756,1,32,0.999441657330177,0.000103652906602669,0.999238522012646,0.999644833943112
0.427069645203679,51724,1,26,0.999422334739942,0.000105436544392166,0.999215704273638,0.999629007935909
0.459921156373193,51696,1,32,0.999403002057825,0.000107192258020251,0.999192931173847,0.999613117107224
0.492772667542707,51664,1,23,0.999383657775499,0.000108921666326602,0.999170198032191,0.999597163121711
0.49415873130164,51640,1,0,0.999364304877402,0.000110625482262293,0.999147506435528,0.999581150360943
0.525624178712221,51639,2,29,0.999325599081206,0.000113956525466744,0.999102273353225,0.999548974728381
0.558475689881735,51608,2,26,0.999286871535125,0.000117196269348882,0.999057197466034,0.999516598404173
0.624178712220762,51550,2,51,0.999248101918382,0.000120355358188365,0.999012237592288,0.999484021931462
0.657030223390276,51527,1,23,0.999228709209668,0.000121905372552756,0.998989807633504,0.999467667917509
0.68988173455979,51503,1,30,0.999209307840637,0.000123437225280946,0.9989674046112,0.999451269647732
0.722733245729304,51472,5,22,0.999112244455899,0.000130835261383894,0.998855844960866,0.999368709766937
0.755584756898817,51445,3,20,0.999053981520077,0.000135082665352717,0.998789259439316,0.999318773763568
0.788436268068331,51421,1,19,0.999034552610069,0.000136470113819968,0.998767111905231,0.999302064927729
0.854139290407359,51375,1,58,0.999015106682038,0.000137845941921204,0.998744970129892,0.99928531629964
0.866664,51343,1,0,0.998995649012897,0.000139209759165222,0.998722840155168,0.999268532390473
0.886990801576872,51342,1,34,0.998976191343757,0.000140560291889437,0.998700736217624,0.999251722444127
0.919842312746386,51306,2,11,0.998937249458155,0.00014322660721349,0.998656569906189,0.999218007897111
0.9526938239159,51293,1,12,0.998917774339728,0.000144541807084398,0.998634517771781,0.999201111251667
0.985545335085414,51281,1,12,0.998898295043803,0.000145845653880703,0.998612483711803,0.999184188177422
0.999996,51268,1,0,0.998878811188473,0.000147138500003438,0.998590466653685,0.99916723898319
1,51267,1,0,0.998859327333144,0.000148420035094852,0.998568471764781,0.999150267619745
1.01839684625493,51266,1,16,0.998839843477814,0.000149690549664219,0.998546498475701,0.999133274656475
1.05124835742444,51248,3,19,0.998781372522256,0.000153441155431527,0.998480678656511,0.999082156942383
1.08409986859396,51227,2,30,0.99874237818831,0.000155892909245485,0.998436880433473,0.999047969418138
1.11695137976347,51194,1,18,0.998722869215028,0.000157105831638413,0.99841499490691,0.999030838460212
1.1826544021025,51154,1,51,0.998703345368033,0.000158311245579749,0.998393109224043,0.999013677913394
