"time","n_risk","n_event","n_censor","survival","lower_CI","upper_CI","strata"
27.9894875164258,36400,1,7,0.986331662978614,0.985263741744339,0.987400741726064,"Overweight"
28.0551905387648,36381,1,34,0.986304551803468,0.98523534090904,0.987374923041917,"Overweight"
28.0880420499343,36362,1,20,0.986277427207686,0.985206926991736,0.987349090601321,"Overweight"
28.1865965834428,36306,1,45,0.986250261520825,0.985178469661973,0.987323219399665,"Overweight"
28.3180026281209,36250,1,63,0.986223054617058,0.985149968784634,0.987297309320457,"Overweight"
28.4165571616294,36200,1,48,0.986195810886268,0.98512142917458,0.987271364327682,"Overweight"
28.4494086727989,36182,1,18,0.986168554355095,0.985092877170595,0.987245406130776,"Overweight"
28.6136662286465,36096,1,72,0.986141233639383,0.985064256448304,0.987219388296666,"Overweight"
28.6793692509855,36075,1,34,0.986113897777051,0.985035620766469,0.987193355132066,"Overweight"
28.8764783180026,35985,1,88,0.986086494306222,0.985006912617149,0.987167259232293,"Overweight"
28.9750328515112,35952,1,19,0.986059066444231,0.984978179381516,0.987141139641691,"Overweight"
29,35945,1,2,0.986031634003934,0.984949442778172,0.987115014263163,"Overweight"
29.0735873850197,35918,1,36,0.986004181706089,0.984920686056015,0.98708886929257,"Overweight"
29.1721419185283,35872,1,46,0.985976694970426,0.984891893234155,0.987062691553376,"Overweight"
29.2049934296978,35859,1,15,0.985949199036491,0.984863091978121,0.987036503853771,"Overweight"
29.3692509855453,35780,1,81,0.985921643161728,0.984834226671596,0.987010260335783,"Overweight"
29.4045174537988,35747,1,14,0.985894062619496,0.984805335980922,0.986983992872277,"Overweight"
29.4678055190539,35729,1,39,0.985866468954333,0.98477643255959,0.986957711896372,"Overweight"
29.7003132698519,35598,1,108,0.985838774520124,0.984747420340517,0.986931338201702,"Overweight"
30,35464,1,134,0.985810976223978,0.984718295927056,0.986904868999877,"Overweight"
30.0591327201051,35459,1,17,0.985783174792008,0.984689169761451,0.986878395279223,"Overweight"
30.1248357424442,35426,1,41,0.985755348247245,0.98466001774582,0.98685189718842,"Overweight"
30.258726899384,35350,1,52,0.98572746266455,0.984630802687311,0.98682534407738,"Overweight"
30.2890932982917,35349,1,14,0.985699577081856,0.984601589317339,0.986798789277802,"Overweight"
30.3547963206307,35321,1,25,0.985671670182927,0.984572354262899,0.98677221353483,"Overweight"
30.4204993429698,35285,2,39,0.985615801022083,0.984513828511842,0.986719006977074,"Overweight"
30.4558521560575,35257,1,10,0.985587845841522,0.98448454557523,0.986692382563464,"Overweight"
30.4862023653088,35256,1,12,0.985559890660962,0.98445526431345,0.986665756475021,"Overweight"
30.6504599211564,35169,1,89,0.985531867120609,0.984425909802788,0.986639066930706,"Overweight"
30.6833114323259,35153,1,13,0.985503831622441,0.984396543866032,0.98661236489945,"Overweight"
30.7490144546649,35125,1,22,0.985475774573854,0.984367155988249,0.98658564171307,"Overweight"
30.84,35087,1,29,0.985447687938502,0.984337737362453,0.986558890107612,"Overweight"
